java net.tinyos.tools.PrintfClient -comm serial@/dev/ttyUSB1:telos
Thread[Thread-1,5,main]SerialToRadioC SEND 9 2 0
SerialToRadioC SEND 9 2 1
SerialToRadioC SEND 8 1 2
SerialToRadioC SEND 7 0 3
SerialToRadioC SEND 6 2 4
SerialToRadioC SEND 5 1 5
SerialToRadioC SEND 4 0 6
SerialToRadioC SEND 3 2 7
SerialToRadioC SEND 2 1 8
SerialToRadioC SEND 1 0 9
SerialToRadioC SEND 0 2 10
SerialToRadioC SEND 9 1 11
SerialToRadioC SEND 8 0 12
SerialToRadioC SEND 7 2 13
SerialToRadioC SEND 6 1 14
SerialToRadioC SEND 5 0 15
SerialToRadioC SEND 4 2 16
SerialToRadioC SEND 3 1 17
SerialToRadioC SEND 2 0 18
SerialToRadioC SEND 1 2 19
SerialToRadioC SEND 0 1 20
SerialToRadioC SEND 9 0 21
SerialToRadioC SEND 8 2 22
SerialToRadioC SEND 7 1 23
SerialToRadioC SEND 6 0 24
SerialToRadioC SEND 5 2 25
SerialToRadioC SEND 4 1 26
SerialToRadioC SEND 3 0 27
SerialToRadioC SEND 2 2 28
SerialToRadioC SEND 1 1 29
